Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,like_groups
0.67,0.855,0.0,-3.035,0.0499,0.0124,0.0,0.335,0.648,120.05,227280.0,2961540.0,17.0
0.761,0.933,10.0,-5.38,0.056,0.0908,8.53e-05,0.0607,0.836,122.959,236200.0,1576522.0,15.0
0.592,0.935,6.0,-4.317,0.0581,0.00879,0.0154,0.132,0.567,125.013,222520.0,4925915.0,18.0
0.85,0.631,1.0,-8.401,0.227,0.00684,0.000406,0.0679,0.738,126.002,237600.0,1533812.0,15.0
0.595,0.912,10.0,-3.428,0.0884,0.0434,0.0,0.259,0.762,128.024,234453.0,1078390.0,14.0
0.898,0.677,11.0,-6.422,0.243,0.0223,0.0,0.35,0.578,130.027,154493.0,688783.0,13.0
0.742,0.882,7.0,-2.862,0.117,0.0466,0.0,0.206,0.463,102.04,221176.0,7147862.0,20.0
0.951,0.6,0.0,-4.675,0.0685,0.106,0.0,0.0712,0.822,125.04,218573.0,2124819.0,16.0
0.801,0.764,2.0,-5.112,0.0986,0.109,1.62e-05,0.247,0.578,89.999,154151.0,2514731.0,17.0
0.741,0.824,10.0,-4.143,0.0352,0.614,0.0,0.158,0.725,100.216,211666.0,1324227.0,15.0
0.718,0.776,7.0,-5.208,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,227787.0,2235710.0,16.0
0.855,0.674,7.0,-4.328,0.314,0.165,0.0,0.0548,0.578,95.991,242253.0,1317175.0,15.0
0.711,0.761,8.0,-3.04,0.225,0.067,0.0,0.041,0.718,95.824,243880.0,1317175.0,15.0
0.765,0.666,7.0,-5.384,0.172,0.103,0.0,0.116,0.757,87.002,273360.0,2018040.0,16.0
0.812,0.712,0.0,-5.993,0.0452,0.01,0.0,0.108,0.85,98.029,148944.0,668740.0,13.0
0.828,0.588,2.0,-7.14,0.118,0.0156,0.0,0.124,0.598,94.052,224681.0,1928933.0,16.0
0.396,0.293,2.0,-14.062,0.0275,0.941,0.000196,0.105,0.343,100.307,182360.0,3486602.0,17.0
0.465,0.27,4.0,-16.661,0.0425,0.9,0.00104,0.145,0.58,94.518,129173.0,209579.0,9.0
0.487,0.382,7.0,-10.889,0.0309,0.0422,4.74e-06,0.411,0.714,116.557,261280.0,84407.0,7.0
0.66,0.748,2.0,-11.206,0.0284,0.0993,0.00585,0.283,0.972,143.549,170293.0,17369.0,2.0
0.358,0.387,7.0,-14.342,0.0324,0.746,0.0121,0.119,0.495,181.183,218440.0,152547.0,8.0
0.325,0.715,7.0,-7.744,0.0368,0.00708,2.79e-05,0.0987,0.282,93.914,191840.0,374007.0,11.0
0.623,0.537,10.0,-10.014,0.0726,0.332,1.4e-05,0.0963,0.905,166.885,146933.0,1868278.0,16.0
0.481,0.733,5.0,-7.633,0.165,0.573,1.17e-05,0.108,0.874,122.903,140427.0,370274.0,11.0
